"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2004S1","United Kingdom","Euro","1,054.20",""
"2004S1","Iceland","Euro",":","z"
"2004S1","Norway","Euro",":","z"
"2004S1","Switzerland","Euro",":","z"
"2004S1","Montenegro","Euro",":",""
"2004S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2004S1","Albania","Euro",":",""
"2004S1","Serbia","Euro",":",""
"2004S1","Turkey","Euro","238.77",""
"2004S1","United States","Euro","706.79",""
"2005S1","Belgium","Euro","1,210.00",""
"2005S1","Bulgaria","Euro","76.69",""
"2005S1","Czech Republic","Euro","235.85",""
"2005S1","Denmark","Euro",":","z"
"2005S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2005S1","Estonia","Euro","171.92",""
"2005S1","Ireland","Euro","1,183.00",""
"2005S1","Greece","Euro","667.68",""
"2005S1","Spain","Euro","598.50",""
"2005S1","France","Euro","1,286.09",""
"2005S1","Croatia","Euro",":","z"
"2005S1","Italy","Euro",":","z"
"2005S1","Cyprus","Euro",":","z"
"2005S1","Latvia","Euro","114.63",""
"2005S1","Lithuania","Euro","144.81",""
"2005S1","Luxembourg","Euro","1,466.77",""
"2005S1","Hungary","Euro","231.74",""
"2005S1","Malta","Euro","555.05",""
"2005S1","Netherlands","Euro","1,264.80",""
"2005S1","Austria","Euro",":","z"
"2005S1","Poland","Euro","207.86",""
"2005S1","Portugal","Euro","437.15",""
"2005S1","Romania","Euro","78.70",""
"2005S1","Slovenia","Euro","490.07",""
"2005S1","Slovakia","Euro","167.76",""
"2005S1","Finland","Euro",":","z"
"2005S1","Sweden","Euro",":","z"
"2005S1","United Kingdom","Euro","1,134.67",""
"2005S1","Iceland","Euro",":","z"
"2005S1","Norway","Euro",":","z"
"2005S1","Switzerland","Euro",":","z"
"2005S1","Montenegro","Euro",":",""
"2005S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2005S1","Albania","Euro",":",""
"2005S1","Serbia","Euro",":",""
"2005S1","Turkey","Euro","266.15",""
"2005S1","United States","Euro","655.36",""
"2006S1","Belgium","Euro","1,234.00",""
"2006S1","Bulgaria","Euro","81.79",""
"2006S1","Czech Republic","Euro","261.03",""
"2006S1","Denmark","Euro",":","z"
"2006S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2006S1","Estonia","Euro","191.73",""
"2006S1","Ireland","Euro","1,292.85",""
"2006S1","Greece","Euro","709.71",""
"2006S1","Spain","Euro","631.05",""
"2006S1","France","Euro","1,217.88",""
"2006S1","Croatia","Euro",":","z"
"2006S1","Italy","Euro",":","z"
"2006S1","Cyprus","Euro",":","z"
"2006S1","Latvia","Euro","129.27",""
"2006S1","Lithuania","Euro","159.29",""
"2006S1","Luxembourg","Euro","1,503.42",""
"2006S1","Hungary","Euro","247.16",""
"2006S1","Malta","Euro","584.23",""
"2006S1","Netherlands","Euro","1,272.60",""
"2006S1","Austria","Euro",":","z"
"2006S1","Poland","Euro","232.90",""
"2006S1","Portugal","Euro","449.98",""
"2006S1","Romania","Euro","89.67",""
"2006S1","Slovenia","Euro","511.90",""
"2006S1","Slovakia","Euro","182.15",""
"2006S1","Finland","Euro",":","z"
"2006S1","Sweden","Euro",":","z"
"2006S1","United Kingdom","Euro","1,212.61",""
"2006S1","Iceland","Euro",":","z"
"2006S1","Norway","Euro",":","z"
"2006S1","Switzerland","Euro",":","z"
"2006S1","Montenegro","Euro",":",""
"2006S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2006S1","Albania","Euro",":",""
"2006S1","Serbia","Euro",":",""
"2006S1","Turkey","Euro","333.46",""
"2006S1","United States","Euro","756.69",""
"2007S1","Belgium","Euro","1,259.00",""
"2007S1","Bulgaria","Euro","92.03",""
"2007S1","Czech Republic","Euro","291.07",""
